NAME_EN,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MAE HONG SON,30.138,33.389,36.815,38.707,35.87,33.17,32.19,32.03,32.78,32.65,30.86,28.97
MAE SARIANG,31.391,33.99,36.502,37.877,34.94,31.65,30.72,30.71,32.06,32.79,31.96,30.52
CHIANG RAI,28.602,31.326,33.834,34.849,33.09,32.14,31.07,30.93,31.15,30.46,28.83,27.22
CHAING RAI AGROMET.,28.473,31.256,33.697,34.91,32.82,31.87,30.94,30.68,30.79,29.99,28.34,26.7
PHAYAO,29.309,32.229,34.983,35.984,33.55,32.45,31.63,31.34,31.35,30.71,29.2,27.77
DOI ANG KANG,19.973,23.035,26.157,27.356,24.32,24.01,22.9,22.42,22.56,21.59,19.76,18.71
MAE JO AGROMET.,29.398,32.841,36.142,36.058,32.31,33.53,31.86,32.25,32.49,32.05,30.68,30.17
CHIANG MAI,29.815,32.656,35.183,36.5,34.18,32.69,31.84,31.53,31.7,31.43,30.09,28.56
LAMPANG,31.569,34.445,37.16,38.281,35.55,34.03,33.3,32.96,32.84,32.29,31.31,30.15
THOEN,32.142,35.083,37.602,37.924,34.32,33.33,32.69,32.38,32.47,31.82,31.28,30.33
LAMPANG AGROMET.,31.045,34.134,37.025,37.781,33.91,33.86,32.12,31.77,31.92,31.15,30.5,29.76
LAMPHUN,30.761,33.838,36.688,37.913,35.03,33.35,32.8,32.38,32.1,31.54,30.4,29.16
PHRAE,31.157,33.688,36.341,37.636,35.27,33.59,32.64,32.3,32.36,32.13,31.19,29.95
NAN,30.759,33.416,36.19,37.022,35.01,33.49,32.45,32.17,32.69,32.48,31.18,29.65
NAN AGROMET.,30.309,32.948,35.229,35.836,33.46,32.87,31.62,31.4,31.97,31.87,30.86,29.74
THA WANGPHA,29.428,32.442,35.282,36.21,34.01,32.43,31.27,31.09,31.85,31.5,29.93,28.26
THUNG CHANG,29.713,32.04,34.109,34.945,32.76,31.78,30.74,30.6,31.2,31.34,30.17,28.76
UTTARADIT,32.24,34.465,36.528,37.897,35.9,34.16,33.31,32.92,33.28,33.26,32.37,31.15
NONG KHAI,29.674,32.116,34.678,36.171,34.23,33.02,32.39,31.94,31.93,31.8,30.63,28.92
LOEI,30.131,32.913,35.102,35.896,33.78,33.04,32.3,31.95,31.6,31.05,30.24,28.89
LOEI AGROMET.,29.533,32.37,34.763,34.935,32.75,33.37,32.69,32.08,31.77,30.74,30.1,29.05
UDON THANI,30.044,32.464,34.934,36.282,34.42,33.19,32.61,32.01,31.93,31.61,30.73,29.11
SAKON NAKHON,29.178,31.318,33.702,35.076,33.52,32.47,31.88,31.4,31.4,31.08,30.3,28.6
SAKON NAKHON AGROMET.,29.761,32.201,34.269,35.455,33.77,33.55,32.33,31.78,32.02,31.42,30.6,29.85
NAKHON PHANOM,29.43,31.296,33.72,35.08,33.66,32.2,31.55,31.25,31.82,31.72,30.6,28.81
NAKHON PHANOM AGROMET.,29.103,31.58,33.87,35.144,33.29,32.84,31.56,31.1,31.62,30.91,30.04,29.17
SUKHOTHAI*,31.554,33.411,35.598,37.92,34.94,33.83,33.2,32.92,32.7,32.75,31.87,31
SI SAMRONG AGROMET.,31.47,33.305,35.903,37.325,34.35,33.59,32.79,32.78,32.79,32.28,31.89,30.86
TAK,32.416,35.333,37.612,38.528,35.23,32.96,32.45,32.31,32.56,31.71,31.06,30.48
MAE SOT,31.633,33.963,35.843,36.849,34.09,31.4,30.48,30.27,31.54,32.16,31.45,30.44
BHUMIBOL DAM,31.906,34.914,37.21,38.153,35.25,33.37,33.02,32.98,33,32.08,31.21,30.22
DOI MU SOE AGROMET.,26.035,29.499,31.128,32.219,28.21,27.3,25.25,25.38,26.49,25.82,25.05,24.6
UMPHANG,30.501,32.839,34.531,34.826,32.04,29.67,28.88,28.55,29.63,29.99,29.48,28.84
PHITSANULOK,31.638,33.795,35.754,37.225,35.56,33.97,33.19,32.54,32.51,32.38,31.75,30.7
PHETCHABUN,32.316,34.735,36.575,37.269,35.01,33.49,32.67,32.11,32.27,32.24,31.89,31.05
LOM SAK,32.047,34.078,35.735,36.604,34.85,33.42,32.47,31.89,32.26,32.34,31.86,30.87
WICHIAN BURI,32.501,34.801,36.57,37.166,35.29,34.29,33.49,32.87,32.5,32.46,32.19,31.42
KAMPHAENG PHET,32.126,34.393,35.968,37.307,35.21,33.57,33,32.63,32.68,32.21,31.6,30.78
KHON KAEN,30.837,33.104,35.266,36.41,34.53,33.64,32.97,32.35,31.95,31.62,31.19,30.06
THA PHRA AGROMET.,30.988,33.318,35.356,35.969,34.07,33.91,32.75,31.93,32.1,31.92,31.21,30.77
MUKDAHAN,30.41,32.742,35.09,36.142,34.48,32.91,32.35,31.76,32.05,31.68,30.65,29.25
PICHIT AGROMET.,31.026,33.056,35.062,36.357,34.31,34.05,33.08,32.55,32.37,32.06,31.83,30.85
MAHASARAKHAM,31.419,33.656,35.733,36.847,35.24,34.22,33.64,33,32.59,32.23,31.63,30.48
KALASIN,30.433,32.551,34.575,35.684,34.13,33.21,32.48,31.78,31.53,31.63,30.61,29.4
NAKHON SAWAN,32.898,35.187,36.97,38.056,35.93,34.81,34.08,33.57,33.06,32.55,32.06,31.36
TAKFA AGROMET.,32.182,34.381,36.102,36.781,34.65,34.3,33.1,32.95,32.69,32.11,31.81,31.74
CHAINAT AGROMET.,31.519,33.114,34.879,36.545,34.61,34.29,33.34,33.29,33.14,32.28,31.89,31.58
CHAIYAPHUM,31.049,33.651,35.687,36.446,34.62,33.54,32.91,32.32,32.02,31.56,30.91,29.9
ROI ET,30.302,32.624,34.709,35.748,34.24,33.13,32.42,31.72,31.36,31.09,30.47,29.3
ROI ET AGROMET.,30.174,32.748,35.001,35.482,33.83,33.51,32.45,31.59,31.5,30.94,30.29,30.07
UBON RATCHATHANI AGROMET.,31.9,34.146,36.012,36.428,34.03,33.98,32.69,31.75,32,31.74,31.52,31.72
UBON RATCHATHANI,31.718,33.999,35.847,36.446,34.75,33.26,32.55,31.88,31.84,31.76,31.37,30.55
SI SAKET AGROMET.,30.879,33.472,35.479,36.231,34.06,34.03,32.94,31.93,31.74,31.14,30.69,30.66
AYUTTHAYA,32.887,34.659,35.766,36.125,34.46,34.42,33.66,33.38,33.05,32.61,32.2,32.38
PATHUMTHANI,32.698,34.621,35.913,36.288,34.69,34.74,33.6,33.56,33.38,32.81,32.41,32.41
CHACHOENGSAO,32.885,34.613,35.409,35.194,33.79,33.72,32.72,32.87,32.48,32.17,31.96,32.49
RATCHA BURI,31.968,34.226,35.724,36.185,34.27,34.06,32.99,33.22,32.86,31.72,30.87,31.18
