YEAR,QUARTER,REGION,PROVINCE,SEX,VALUE,UNIT,SOURCE
2563,ไตรมาสที่ 1/2563,1) กรุงเทพมหานคร,กรุงเทพมหานคร,1. ชาย,3664.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,1) กรุงเทพมหานคร,กรุงเทพมหานคร,2. หญิง,3974,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,กาญจนบุรี,1. ชาย,321.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,กาญจนบุรี,2. หญิง,326.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,จันทบุรี,1. ชาย,226.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,จันทบุรี,2. หญิง,240.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ฉะเชิงเทรา,1. ชาย,333,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ฉะเชิงเทรา,2. หญิง,350.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ชลบุรี,1. ชาย,746,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ชลบุรี,2. หญิง,754.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ชัยนาท,1. ชาย,125.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ชัยนาท,2. หญิง,141.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ตราด,1. ชาย,119.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,ตราด,2. หญิง,118.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,นครนายก,1. ชาย,115.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,2) ภาคกลาง,นครนายก,2. หญิง,125.3,พันคน,สำนักงานสถิติแห่งชาติ
