YEAR,QUARTER,REGION,PROVINCE,SEX,VALUE,UNIT,SOURCE
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,ตาก,1. ชาย,188.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,น่าน,1. ชาย,178.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,พะเยา,1. ชาย,167.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,พิจิตร,1. ชาย,209.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,พิษณุโลก,1. ชาย,352.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,ลำปาง,1. ชาย,308.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,ลำพูน,1. ชาย,171.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,สุโขทัย,1. ชาย,239.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,อุทัยธานี,1. ชาย,111.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,เชียงราย,1. ชาย,463.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,เชียงใหม่,1. ชาย,704.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,356.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,แพร่,1. ชาย,173.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1/2563,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,ตาก,1. ชาย,188.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,น่าน,1. ชาย,178.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,พะเยา,1. ชาย,167.7,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,พิจิตร,1. ชาย,209.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,พิษณุโลก,1. ชาย,352.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,ลำปาง,1. ชาย,308.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,ลำพูน,1. ชาย,171.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,สุโขทัย,1. ชาย,239,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,เชียงราย,1. ชาย,463.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,เชียงใหม่,1. ชาย,704.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,356.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,แพร่,1. ชาย,173,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2/2563,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,ตาก,1. ชาย,188.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,น่าน,1. ชาย,178.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,พะเยา,1. ชาย,167.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,พิจิตร,1. ชาย,209.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,พิษณุโลก,1. ชาย,352.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,ลำปาง,1. ชาย,308.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,ลำพูน,1. ชาย,171.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,สุโขทัย,1. ชาย,239,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,เชียงราย,1. ชาย,463.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,เชียงใหม่,1. ชาย,703.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,356.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,แพร่,1. ชาย,173,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3/2563,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.6,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,ตาก,1. ชาย,188.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,น่าน,1. ชาย,178.1,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,พะเยา,1. ชาย,167.5,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,พิจิตร,1. ชาย,209.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,พิษณุโลก,1. ชาย,352.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,ลำปาง,1. ชาย,308.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,ลำพูน,1. ชาย,171.4,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,สุโขทัย,1. ชาย,238.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.2,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,เชียงราย,1. ชาย,462.8,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,เชียงใหม่,1. ชาย,703.3,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,355.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,แพร่,1. ชาย,172.9,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4/2563,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.6,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,ตาก,1. ชาย,188.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,น่าน,1. ชาย,178,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,พะเยา,1. ชาย,167.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,พิจิตร,1. ชาย,210,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,พิษณุโลก,1. ชาย,352.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,ลำปาง,1. ชาย,308.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,ลำพูน,1. ชาย,171.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,สุโขทัย,1. ชาย,238.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,เชียงราย,1. ชาย,462.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,เชียงใหม่,1. ชาย,702.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,355.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,แพร่,1. ชาย,172.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 1/2564,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,ตาก,1. ชาย,188.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,น่าน,1. ชาย,177.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,พะเยา,1. ชาย,167.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,พิจิตร,1. ชาย,210,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,พิษณุโลก,1. ชาย,351.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,ลำปาง,1. ชาย,308,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,ลำพูน,1. ชาย,171.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,สุโขทัย,1. ชาย,238.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,เชียงราย,1. ชาย,462.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,เชียงใหม่,1. ชาย,702.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,355.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,แพร่,1. ชาย,172.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 2/2564,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,ตาก,1. ชาย,188.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,นครสวรรค์,1. ชาย,386.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,น่าน,1. ชาย,177.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,พะเยา,1. ชาย,167.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,พิจิตร,1. ชาย,210,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,พิษณุโลก,1. ชาย,351.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,ลำปาง,1. ชาย,307.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,ลำพูน,1. ชาย,171.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,สุโขทัย,1. ชาย,238.6,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,อุตรดิตถ์,1. ชาย,172.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,อุทัยธานี,1. ชาย,112,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,เชียงราย,1. ชาย,461.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,เชียงใหม่,1. ชาย,701.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,เพชรบูรณ์,1. ชาย,355.6,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,แพร่,1. ชาย,172.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3/2564,3) ภาคเหนือ,แม่ฮ่องสอน,1. ชาย,76.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4/2564,3) ภาคเหนือ,กำแพงเพชร,1. ชาย,301,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4/2564,3) ภาคเหนือ,ตาก,1. ชาย,187.9,พันคน,สำนักงานสถิติแห่งชาติ
